Name,Longitude,Latitude,Type
首都医科大学附属北京口腔医院天坛部,116.401391,39.877696,医疗保健服务;专科医院;口腔医院
首都医科大学附属北京口腔医院内部停车场,116.4015873,39.87767619,交通设施服务;停车场;专用停车场
首都医科大学口腔医学院,116.40149,39.877687,科教文化服务;学校;高等院校
首都医科大学附属北京口腔医院天坛部,116.401391,39.877696,医疗保健服务;专科医院;口腔医院
首都医科大学附属北京口腔医院内部停车场,116.4015873,39.87767619,交通设施服务;停车场;专用停车场
首都医科大学附属北京口腔医院门诊服务中心,116.402098,39.877747,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院门诊,116.363042,39.891688,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院内科病房楼,116.361481,39.891677,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院综合一楼,116.362999,39.89138,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院住院处,116.362487,39.891706,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院急诊,116.362537,39.891707,医疗保健服务;综合医院;三级甲等医院
首都医科大学宣武医院第1停车场,116.363256,39.891681,交通设施服务;停车场;公共停车场
首都医科大学宣武医院外科病房楼,116.363265,39.891686,医疗保健服务;综合医院;三级甲等医院
首都医科大学神经病学研究所,116.363253,39.891682,科教文化服务;科研机构;科研机构
首都医科大学宣武医院,116.363241,39.891689,医疗保健服务;综合医院;三级甲等医院
北京儿童医院地下停车场,116.3557427,39.91280689,交通设施服务;停车场;公共停车场
北京中医药大学附属护国寺中医医院住院院区,116.376392,39.936396,医疗保健服务;综合医院;三级甲等医院
北京市健宫医院,116.374884,39.880782,医疗保健服务;综合医院;综合医院
首都医科大学附属北京儿童医院急诊楼,116.355057,39.913754,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京儿童医院急救中心,116.355063,39.91377,医疗保健服务;急救中心;急救中心
北京中医药大学附属护国寺中医医院住院院区,116.376392,39.936396,医疗保健服务;综合医院;三级甲等医院
北京市健宫医院,116.374884,39.880782,医疗保健服务;综合医院;综合医院
首都医科大学附属北京儿童医院急诊楼,116.355057,39.913754,医疗保健服务;综合医院;三级甲等医院
首都医科大学附属北京儿童医院急救中心,116.355063,39.91377,医疗保健服务;急救中心;急救中心
首都医科大学附属北京儿童医院门诊楼,116.355063,39.913801,医疗保健服务;综合医院;三级甲等医院
北京市总工会职工大学,116.377724,39.878831,科教文化服务;学校;成人教育
首都医科大学附属北京儿童医院,116.355066,39.913752,医疗保健服务;综合医院;三级甲等医院
清华大学附属小学CBD实验小学(二校区),116.44186,39.903921,科教文化服务;学校;小学
首都医科大学附属北京儿童医院儿童保健中心,116.35307,39.912365,医疗保健服务;综合医院;三级甲等医院
首都医科大学中医门诊部,116.428862,39.933746,医疗保健服务;诊所;诊所
首都医科大学中医研修学院,116.4289,39.933877,科教文化服务;学校;高等院校
北京中医药大学附属护国寺中医医院新门诊楼,116.373963,39.939118,医疗保健服务;医疗保健服务场所;医疗保健服务场所
首都医科大学附属复兴医院门诊部,116.353422,39.91817,医疗保健服务;综合医院;综合医院
北京中医药大学东直门医院停车场,116.426686,39.936545,交通设施服务;停车场;公共停车场
北京大学第一医院第三住院部,116.406244,39.945478,医疗保健服务;综合医院;三级甲等医院
经贸大学宿舍,116.392894,39.946035,商务住宅;住宅区;宿舍
北京市东城区职工大学,116.438514,39.929629,科教文化服务;学校;成人教育
北京大学口腔医院第五门诊部,116.440606,39.927284,医疗保健服务;专科医院;口腔医院
北京中医药大学东直门医院停车场,116.426686,39.936545,交通设施服务;停车场;公共停车场
北京大学第一医院第三住院部,116.406244,39.945478,医疗保健服务;综合医院;三级甲等医院
经贸大学宿舍,116.392894,39.946035,商务住宅;住宅区;宿舍
北京市东城区职工大学,116.438514,39.929629,科教文化服务;学校;成人教育
北京大学口腔医院第五门诊部,116.440606,39.927284,医疗保健服务;专科医院;口腔医院
北京大学第四临床医学院,116.375993,39.943031,科教文化服务;学校;高等院校
北京老年开放大学,116.363103,39.936733,科教文化服务;学校;成人教育
北京市西城经济科学大学,116.364021,39.937734,科教文化服务;学校;高等院校
北京开放大学西直门校区,116.363061,39.936828,科教文化服务;学校;成人教育
北京市西城经济科学大学(柳巷),116.364595,39.939291,科教文化服务;学校;高等院校
西城经济科学大学-培训中心,116.364113,39.938939,科教文化服务;培训机构;培训机构
北京积水潭医院新街口院区,116.375996,39.943028,医疗保健服务;综合医院;三级甲等医院
北京市西城区老年大学,116.366537,39.940587,科教文化服务;学校;成人教育
北京工业大学附属中学(富力城校区),116.4489,39.897226,科教文化服务;学校;中学
北京工业大学附属中学富力城校区(高中部),116.448905,39.89723,科教文化服务;学校;中学
北京广播电视大学崇文分校,116.44211,39.885328,科教文化服务;学校;成人教育
北京大学人民医院生殖医学中心,116.35548,39.935425,医疗保健服务;综合医院;三级甲等医院
北京工业大学建筑勘察设计院,116.407631,39.866424,科教文化服务;学校;高等院校
天安门-城楼,116.397495,39.907981,风景名胜;风景名胜;国家级景点
天安门,116.397604,39.907694,风景名胜;风景名胜;国家级景点
端门,116.402913,39.915174,风景名胜;风景名胜;风景名胜
天安门广场-国旗,116.397431,39.907468,风景名胜;风景名胜;风景名胜
长安街,116.397495,39.907689,风景名胜;风景名胜;风景名胜
中山公园,116.391615,39.912066,风景名胜;公园广场;公园
中山公园-金鱼廊,116.402349,39.918398,风景名胜;风景名胜相关;旅游景点
中国国家博物馆,116.401602,39.907361,科教文化服务;博物馆;博物馆
皇史宬,116.403274,39.909428,风景名胜;风景名胜;风景名胜
内金水桥,116.39722,39.914183,风景名胜;风景名胜相关;旅游景点
协和门,116.40495,39.921043,风景名胜;风景名胜相关;旅游景点
熙和门,116.402852,39.915166,风景名胜;风景名胜相关;旅游景点
太和门,116.403521,39.921729,风景名胜;风景名胜;风景名胜
西交民巷,116.391676,39.901787,风景名胜;风景名胜;风景名胜
西华门,116.391449,39.914789,风景名胜;风景名胜;风景名胜
普度寺遗址,116.404124,39.912972,风景名胜;风景名胜;寺庙道观
翰林院遗址,116.406539,39.906033,风景名胜;风景名胜;风景名胜
体仁阁,116.404698,39.922716,风景名胜;风景名胜相关;旅游景点
正阳门,116.399388,39.900265,风景名胜;风景名胜;风景名胜
故宫博物院,116.402976,39.915134,风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆
天安门,116.397604,39.907694,风景名胜;风景名胜;国家级景点
景山公园南门售票处,116.393709,39.926464,生活服务;售票处;公园景点售票处
速8酒店(北京前门大栅栏店),116.392791,39.894373,住宿服务;宾馆酒店;经济型连锁酒店
中央礼品文物管理中心,116.41108,39.897332,科教文化服务;博物馆;博物馆
东单公园北路-道路停车位,116.41671,39.906169,交通设施服务;停车场;路边停车场
团城,116.389825,39.922399,风景名胜;风景名胜;风景名胜
景山公园-绮望楼,116.393692,39.926464,风景名胜;风景名胜;风景名胜
北海公园南门售票处,116.389868,39.922332,生活服务;售票处;公园景点售票处
东单公园(暂停开放),116.41818,39.905031,风景名胜;公园广场;公园
三里河公园,116.405899,39.894036,风景名胜;公园广场;公园
景山公园-明思宗殉国处,116.399538,39.925809,风景名胜;风景名胜;风景名胜
皇城根遗址公园,116.405893,39.933408,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜
景山公园-万春亭,116.396897,39.924701,风景名胜;风景名胜;风景名胜
霱公府(不对外开放),116.377058,39.904251,风景名胜;风景名胜;风景名胜
文创堂,116.389824,39.922412,科教文化服务;科教文化场所;科教文化场所
琉璃厂文化街,116.384608,39.895341,购物服务;特色商业街;特色商业街
北海公园-永安寺,116.389854,39.922327,风景名胜;风景名胜;寺庙道观
北海公园西门内部停车场,116.386444,39.922659,交通设施服务;停车场;专用停车场
故宫博物院,116.402976,39.915134,风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆
中和殿,116.403451,39.924163,风景名胜;风景名胜;风景名胜
明皇城东安门遗址,116.406687,39.915687,风景名胜;风景名胜相关;旅游景点
正阳桥,116.400369,39.898636,风景名胜;风景名胜;风景名胜
故宫博物院-储秀宫,116.402196,39.927509,风景名胜;风景名胜;风景名胜
北京前门大栅栏,116.394669,39.895805,风景名胜;风景名胜相关;旅游景点
老舍故居,116.40838,39.918441,风景名胜;风景名胜;纪念馆
独角兽星空艺术馆(北京王府井银泰in88购物中心),116.418482,39.922232,科教文化服务;美术馆;美术馆|风景名胜;风景名胜相关;旅游景点
紫禁城神武门,116.396971,39.923299,风景名胜;风景名胜;国家级景点
景山公园,116.393688,39.926464,风景名胜;公园广场;公园
嵩祝寺,116.403619,39.928932,风景名胜;风景名胜;寺庙道观
北海公园,116.389876,39.922333,风景名胜;公园广场;公园
北京明城墙遗址公园,116.433514,39.901084,风景名胜;公园广场;公园
中国地质博物馆,116.372634,39.923936,科教文化服务;博物馆;博物馆
广济寺,116.372306,39.924033,风景名胜;风景名胜;寺庙道观
国家自然博物馆,116.399051,39.883117,科教文化服务;博物馆;博物馆
天坛公园,116.420053,39.883811,风景名胜;公园广场;公园
南锣鼓巷,116.403081,39.933521,风景名胜;风景名胜相关;旅游景点
恭王府博物馆,116.386522,39.935587,风景名胜;风景名胜;国家级景点
银锭桥,116.393447,39.939095,风景名胜;风景名胜;风景名胜
妙应寺白塔,116.363648,39.923865,风景名胜;风景名胜;寺庙道观
北京古代建筑博物馆,116.393203,39.878291,科教文化服务;博物馆;博物馆
法源寺,116.369092,39.884225,风景名胜;风景名胜;寺庙道观
先农坛,116.393171,39.87827,风景名胜;风景名胜;风景名胜
鼓楼,116.395689,39.941356,风景名胜;风景名胜;风景名胜
永定门公园(西城园区),116.399122,39.876649,风景名胜;风景名胜;风景名胜
宣武艺园,116.360264,39.896128,风景名胜;公园广场;公园
天坛公园-回音壁,116.420068,39.883816,风景名胜;风景名胜;风景名胜
钟楼,116.396093,39.941961,风景名胜;风景名胜;风景名胜
陶然亭公园-国色迎晖景区,116.391263,39.882491,风景名胜;风景名胜相关;旅游景点
天坛公园-圜丘,116.413379,39.873208,风景名胜;风景名胜;风景名胜
什刹海,116.392784,39.933534,风景名胜;风景名胜;国家级景点
日坛公园-西南水景区,116.443709,39.913336,风景名胜;风景名胜相关;旅游景点
月坛公园,116.352307,39.918421,风景名胜;风景名胜;省级景点
日坛公园,116.443186,39.917765,风景名胜;公园广场;公园
天宁寺,116.345969,39.894059,风景名胜;风景名胜;寺庙道观
龙潭公园,116.440569,39.881422,风景名胜;风景名胜;国家级景点
青石腾龙景区,116.450085,39.883693,风景名胜;风景名胜相关;旅游景点
纳福迎祥景区,116.335441,39.888709,风景名胜;风景名胜相关;旅游景点
北京海洋馆,116.339834,39.947458,风景名胜;公园广场;水族馆
中华世纪坛,116.320474,39.911105,风景名胜;风景名胜;风景名胜
玉渊潭公园,116.310578,39.917623,风景名胜;风景名胜;国家级景点
紫竹院公园,116.325319,39.940375,风景名胜;公园广场;公园
太和殿,116.39082,39.91589,风景名胜;风景名胜;风景名胜
故宫博物院-珍宝馆,116.402759,39.915173,风景名胜;风景名胜;风景名胜
法华寺遗址,116.424679,39.88752,风景名胜;风景名胜;寺庙道观
勑赐广化寺,116.390509,39.940901,风景名胜;风景名胜;寺庙道观
